CULTIVAR,BLOCK,SOURCE,Area
CabFranc,K1,TK_CabFranc_K1.shp,0.016014141618800
CabFranc,K11,TK_CabFranc_K11.shp,0.003811022489780
CabFranc,K15,TK_CabFranc_K15.shp,0.004424126867540
CabernetSauvignon,K1,TK_CabernetSauvignon_K1.shp,0.016060909058200
CabernetSauvignon,K10,TK_CabernetSauvignon_K10.shp,0.007586870920420
CabernetSauvignon,K12,TK_CabernetSauvignon_K12.shp,0.010146784045100
CabernetSauvignon,K13,TK_CabernetSauvignon_K13.shp,0.005734024151860
CabernetSauvignon,K18,TK_CabernetSauvignon_K18.shp,0.005131364302120
CabernetSauvignon,K7,TK_CabernetSauvignon_K7.shp,0.009761974112870
CabernetSauvignon,K9,TK_CabernetSauvignon_K9.shp,0.008850097880410
CabernetSauvignon,M1,TK_CabernetSauvignon_M1.shp,0.012511531774700
CabernetSauvignon,M4,TK_CabernetSauvignon_M4.shp,0.023098454010600
CabernetSauvignon,M5,TK_CabernetSauvignon_M5.shp,0.015735842463800
CabernetSauvignon,R1b,TK_CabernetSauvignon_R1b.shp,0.012174043679200
CabernetSauvignon,R1c,TK_CabernetSauvignon_R1c.shp,0.014436567657500
CabernetSauvignon,R1d,TK_CabernetSauvignon_R1d.shp,0.012759520104600
CabernetSauvignon,R2,TK_CabernetSauvignon_R2.shp,0.014451535595000
CabernetSauvignon,R4ad,TK_CabernetSauvignon_R4ad.shp,0.003987759714960
CabernetSauvignon,R4b,TK_CabernetSauvignon_R4b.shp,0.006945899281690
CabernetSauvignon,R4c,TK_CabernetSauvignon_R4c.shp,0.015540749694000
CabernetSauvignon,R5a,TK_CabernetSauvignon_R5a.shp,0.005430851285010
CabernetSauvignon,R5b,TK_CabernetSauvignon_R5b.shp,0.022746663005500
CabernetSauvignon,R6c,TK_CabernetSauvignon_R6c.shp,0.012880013318600
CabernetSauvignon,S4a,TK_CabernetSauvignon_S4a.shp,0.014066756881300
CabernetSauvignon,S5a,TK_CabernetSauvignon_S5a.shp,0.010209196600300
CabernetSauvignon,S5b,TK_CabernetSauvignon_S5b.shp,0.010434489130000
CabernetSauvignon,S5c,TK_CabernetSauvignon_S5c.shp,0.010012837333700
Chardonnay,M2,TK_Chardonnay_M2.shp,0.002558342932650
Chardonnay,M3,TK_Chardonnay_M3.shp,0.013574959654100
Chardonnay,R3a,TK_Chardonnay_R3a.shp,0.013928064807100
Chardonnay,R3b,TK_Chardonnay_R3b.shp,0.011130769060800
Chardonnay,R6a,TK_Chardonnay_R6a.shp,0.020550785864500
Chardonnay,R6b,TK_Chardonnay_R6b.shp,0.009627458718810
Chardonnay,R7,TK_Chardonnay_R7.shp,0.026723758485000
Chardonnay,R8,TK_Chardonnay_R8.shp,0.010618499129600
Chardonnay,S3ab,TK_Chardonnay_S3ab.shp,0.016444399342400
CheninBlanc,R10a,TK_CheninBlanc_R10a.shp,0.005912587384940
CheninBlanc,R10b,TK_CheninBlanc_R10b.shp,0.011264917816800
CheninBlanc,R10c,TK_CheninBlanc_R10c.shp,0.011095083896500
CheninBlanc,R7,TK_CheninBlanc_R7.shp,0.026601556085200
CheninBlanc,R8,TK_CheninBlanc_R8.shp,0.010615319129800
Malbec,K3,TK_Malbec_K3.shp,0.015039707852400
Malbec,K4,TK_Malbec_K4.shp,0.010743451755800
Merlot,K14,TK_Merlot_K14.shp,0.007962060569260
Merlot,K2,TK_Merlot_K2.shp,0.018414265875500
Merlot,K8,TK_Merlot_K8.shp,0.006092597028710
Merlot,R11,TK_Merlot_R11.shp,0.012859639057300
Merlot,R16,TK_Merlot_R16.shp,0.012804507258300
PetitVerdot,K15,TK_PetitVerdot_K15.shp,0.004379045487030
PetitVerdot,K3,TK_PetitVerdot_K3.shp,0.014923078090500
PetitVerdot,S8,TK_PetitVerdot_S8.shp,0.015359418333800
Pinotage,K8,TK_Pinotage_K8.shp,0.006142004388720
Pinotage,S4bc,TK_Pinotage_S4bc.shp,0.009391151119080
SauvignonBlanc,R10b,TK_SauvignonBlanc_R10b.shp,0.011254030451900
SauvignonBlanc,R10c,TK_SauvignonBlanc_R10c.shp,0.010997169915100
SauvignonBlanc,R12,TK_SauvignonBlanc_R12.shp,0.007573427263090
SauvignonBlanc,R13,TK_SauvignonBlanc_R13.shp,0.012094588333200
SauvignonBlanc,R14,TK_SauvignonBlanc_R14.shp,0.015599722099100
SauvignonBlanc,R15,TK_SauvignonBlanc_R15.shp,0.010607673242200
SauvignonBlanc,R16,TK_SauvignonBlanc_R16.shp,0.012975391794300
SauvignonBlanc,R9,TK_SauvignonBlanc_R9.shp,0.045323873705400
Semillon,R11,TK_Semillon_R11.shp,0.012863424514100
Semillon,R15,TK_Semillon_R15.shp,0.010676477595900
Shiraz,K4,TK_Shiraz_K4.shp,0.010716269767100
Shiraz,K5,TK_Shiraz_K5.shp,0.010049646016200
Shiraz,K6,TK_Shiraz_K6.shp,0.011328800344500
Shiraz,R1a,TK_Shiraz_R1a.shp,0.005461994915070
Shiraz,S4bc,TK_Shiraz_S4bc.shp,0.009345474199250
Shiraz,S6,TK_Shiraz_S6.shp,0.009061177650050
Shiraz,S7,TK_Shiraz_S7.shp,0.007348863534610
